model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,marka,tax(£),fuel type,engine size,mileage2,fuel type2,engine size2,reference
 V Class,2019.0,18450,Manual,16989,Diesel,145.0,46.3,2.1,merc,,,,,,,
 Mondeo,2012.0,5500,Manual,80000,Diesel,150.0,53.3,2.0,ford,,,,,,,
 Aygo,2015.0,5795,Manual,34182,Petrol,0.0,69.0,1.0,toyota,,,,,,,
 Polo,2019.0,14750,Manual,1997,Petrol,145.0,52.3,1.0,vw,,,,,,,
 Yaris,2016.0,8699,Manual,11664,Petrol,30.0,58.0,1.3,toyota,,,,,,,
 Yaris,2006.0,1550,Manual,100418,Petrol,125.0,52.3,1.0,toyota,,,,,,,
 Mokka,2015.0,8995,Manual,22860,Petrol,165.0,44.8,1.4,vauxhall,,,,,,,
 Z4,2013.0,13700,Automatic,35554,Petrol,205.0,41.5,2.0,bmw,,,,,,,
 3 Series,2019.0,20900,Semi-Auto,30243,Petrol,145.0,48.7,2.0,bmw,,,,,,,
 Astra,2015.0,8400,Manual,17971,Petrol,200.0,43.5,1.6,vauxhall,,,,,,,
 Astra,2017.0,9698,Manual,39062,Diesel,150.0,72.4,1.6,vauxhall,,,,,,,
 A3,2018.0,16990,Semi-Auto,19704,Petrol,150.0,58.9,1.5,audi,,,,,,,
 Galaxy,2016.0,16620,Manual,40885,Diesel,125.0,56.5,2.0,ford,,,,,,,
 X4,2019.0,34990,Automatic,7000,Diesel,150.0,42.8,2.0,bmw,,,,,,,
 Fiesta,2016.0,8568,Manual,24490,Petrol,20.0,62.8,1.0,ford,,,,,,,
 Tiguan,2019.0,28990,Semi-Auto,4500,Diesel,145.0,45.6,2.0,vw,,,,,,,
 Q5,2017.0,28890,Semi-Auto,20768,Diesel,145.0,55.4,2.0,audi,,,,,,,
 Kuga,2016.0,12500,Manual,16778,Diesel,125.0,60.1,2.0,ford,,,,,,,
 Aygo,2019.0,9790,Manual,3000,Petrol,145.0,56.5,1.0,toyota,,,,,,,
 Corsa,2016.0,6300,Manual,59408,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 Corsa,2017.0,7999,Manual,17938,Petrol,145.0,54.3,1.4,vauxhall,,,,,,,
 A Class,2018.0,19860,Semi-Auto,11149,Diesel,145.0,65.7,1.5,merc,,,,,,,
 Superb,2016.0,16250,Semi-Auto,36000,Diesel,30.0,62.8,2.0,skoda,,,,,,,
 A3,2016.0,14200,Manual,20185,Petrol,20.0,61.4,1.4,audi,,,,,,,
 Mokka,2016.0,9200,Manual,11380,Petrol,200.0,40.9,1.6,vauxhall,,,,,,,
 1 Series,2016.0,13158,Semi-Auto,31218,Diesel,20.0,70.6,2.0,bmw,,,,,,,
 C Class,2019.0,25995,Automatic,4235,Diesel,145.0,60.1,1.6,merc,,,,,,,
 Kuga,2017.0,14990,Manual,11675,Diesel,145.0,60.1,2.0,ford,,,,,,,
 Q5,2016.0,32900,Semi-Auto,31267,Diesel,240.0,42.2,3.0,audi,,,,,,,
 Kuga,2014.0,8990,Manual,50000,Diesel,145.0,53.3,2.0,ford,,,,,,,
 3 Series,2017.0,13495,Semi-Auto,44247,Diesel,145.0,67.3,2.0,bmw,,,,,,,
 Fiesta,2013.0,4998,Manual,71825,Petrol,0.0,65.7,1.0,ford,,,,,,,
 A4,2019.0,24985,Semi-Auto,448,Petrol,145.0,39.8,2.0,audi,,,,,,,
 Kuga,2013.0,9998,Semi-Auto,58500,Diesel,200.0,45.6,2.0,ford,,,,,,,
 Focus,2017.0," £12,500",Semi-Auto,"12,118",,,,,unclean focus,,12,£125,51.4,Petrol,1,/ad/25232593
 Fiesta,2014.0,7250,Manual,45000,Petrol,0.0,65.7,1.0,ford,,,,,,,
 C Class,2019.0,26249,Semi-Auto,8588,Petrol,,,1.5,cclass,,,,,,,
 Golf,2016.0,12600,Manual,14794,Diesel,0.0,74.3,1.6,vw,,,,,,,
 Polo,2017.0,9899,Manual,17302,Petrol,150.0,60.1,1.0,vw,,,,,,,
 Focus,2015.0,8160,Manual,63117,Diesel,0.0,74.3,1.5,ford,,,,,,,
 Scirocco,2016.0,15000,Manual,27000,Diesel,20.0,55.4,2.0,vw,,,,,,,
 Kuga,2017.0,14998,Manual,15707,Diesel,145.0,64.2,1.5,ford,,,,,,,
 Corsa,2013.0,4998,Manual,23000,Petrol,125.0,51.4,1.2,vauxhall,,,,,,,
 C Class,2017.0,16499,Manual,21985,Diesel,20.0,70.6,1.6,merc,,,,,,,
 Focus,2018.0,18000,Manual,10435,Petrol,,,2.0,focus,,,,,,,
 Aygo,2014.0,4500,Manual,44000,Petrol,0.0,65.7,1.0,toyota,,,,,,,
 Focus,2019.0,17499,Automatic,1260,Diesel,145.0,67.3,1.5,ford,,,,,,,
 A3,2017.0,18937,Manual,37556,Petrol,145.0,40.4,2.0,audi,,,,,,,
 A Class,2019.0,18190,Automatic,13264,Diesel,145.0,68.9,1.5,merc,,,,,,,
 C Class,2020.0,31995,Semi-Auto,5000,Diesel,145.0,58.9,1.6,merc,,,,,,,
 Focus,2019.0,16998,Manual,23178,Petrol,145.0,60.1,1.0,ford,,,,,,,
 E Class,2017.0,17990,Semi-Auto,40789,Diesel,145.0,72.4,2.0,merc,,,,,,,
 Focus,2019.0,19000,Manual,8800,Diesel,,,1.5,focus,,,,,,,
 Fiesta,2016.0,7438,Manual,42701,Petrol,125.0,54.3,1.2,ford,,,,,,,
 Arteon,2019.0,28995,Semi-Auto,3438,Diesel,145.0,50.4,2.0,vw,,,,,,,
 Mokka X,2018.0,10677,Manual,31496,Petrol,150.0,47.1,1.4,vauxhall,,,,,,,
 Passat,2017.0,10800,Manual,57760,Diesel,145.0,68.9,2.0,vw,,,,,,,
 Golf,2017.0,19798,Manual,6591,Petrol,145.0,47.1,2.0,vw,,,,,,,
 4 Series,2019.0,27450,Semi-Auto,6124,Petrol,150.0,45.6,2.0,bmw,,,,,,,
 Focus,2016.0,7999,Manual,51976,Petrol,,,1.0,focus,,,,,,,
 2 Series,2019.0,19718,Manual,7378,Petrol,150.0,52.3,1.5,bmw,,,,,,,
 X3,2019.0,40980,Automatic,7439,Diesel,145.0,36.7,3.0,bmw,,,,,,,
 Polo,2017.0,9392,Manual,31095,Petrol,145.0,58.9,1.0,vw,,,,,,,
 A6,2020.0,35000,Semi-Auto,3999,Diesel,145.0,47.1,2.0,audi,,,,,,,
 Yaris,2018.0,13422,Automatic,16000,Hybrid,135.0,76.3,1.5,toyota,,,,,,,
 C Class,2015.0," £14,899",Semi-Auto,"46,000",,,,,unclean cclass,,31,£20,64.2,Diesel,2.1,/ad/25276481
 Meriva,2016.0,6099,Manual,38885,Petrol,145.0,47.1,1.4,vauxhall,,,,,,,
 GLC Class,2019.0,45106,Semi-Auto,427,Diesel,145.0,40.4,2.0,merc,,,,,,,
 C Class,2016.0,17100,Automatic,42427,Diesel,,,2.1,cclass,,,,,,,
 C Class,2019.0,22980,Semi-Auto,7442,Petrol,,,1.5,cclass,,,,,,,
 Polo,2019.0,13406,Manual,14315,Petrol,145.0,52.3,1.0,vw,,,,,,,
 Focus,2019.0," £15,235",Manual,,,,,,unclean focus,,Petrol,1,"12,811",,,/ad/25444791
 Focus,2018.0,15295,Manual,4544,Diesel,,,1.5,focus,,,,,,,
 Touareg,2015.0,18110,Semi-Auto,54236,Diesel,235.0,42.8,3.0,vw,,,,,,,
 C Class,2019.0,63495,Automatic,500,Petrol,,,4.0,cclass,,,,,,,
 B-MAX,2017.0,8891,Manual,20226,Diesel,0.0,74.4,1.5,ford,,,,,,,
 Fiesta,2016.0,9495,Manual,18103,Petrol,20.0,62.8,1.0,ford,,,,,,,
 3 Series,2016.0,13995,Automatic,62730,Diesel,125.0,57.6,2.0,bmw,,,,,,,
 X5,2019.0,44850,Automatic,9740,Diesel,145.0,37.7,3.0,bmw,,,,,,,
 Octavia,2017.0,13025,Semi-Auto,37952,Diesel,0.0,74.3,1.6,skoda,,,,,,,
 Fiesta,2018.0,10990,Manual,33500,Petrol,145.0,65.7,1.0,ford,,,,,,,
 Focus,2016.0,7998,Manual,69312,Diesel,0.0,74.3,1.5,ford,,,,,,,
 Scirocco,2017.0,14728,Manual,34217,Diesel,145.0,53.3,2.0,vw,,,,,,,
 4 Series,2020.0,31450,Semi-Auto,10,Diesel,145.0,60.1,2.0,bmw,,,,,,,
 Polo,2016.0,7999,Manual,33721,Petrol,20.0,60.1,1.0,vw,,,,,,,
 Octavia,2018.0,13450,Manual,32127,Diesel,150.0,65.7,2.0,skoda,,,,,,,
 7 Series,2019.0,53000,Semi-Auto,3000,Diesel,145.0,41.5,3.0,bmw,,,,,,,
 Tucson,2018.0,16973,Semi-Auto,15250,Petrol,,39.8,1.6,hyundi,145.0,,,,,,
 C Class,2018.0,17600,Automatic,22749,Petrol,,,2.0,cclass,,,,,,,
 Corsa,2016.0,9495,Manual,39761,Petrol,235.0,37.7,1.6,vauxhall,,,,,,,
 Corsa,2020.0,15998,Manual,10,Petrol,145.0,52.3,1.2,vauxhall,,,,,,,
 Focus,2017.0,15980,Manual,8144,Petrol,,,2.0,focus,,,,,,,
 B Class,2019.0,21980,Semi-Auto,9350,Petrol,145.0,45.6,1.3,merc,,,,,,,
 Golf,2016.0,11500,Automatic,108740,Hybrid,0.0,188.3,1.4,vw,,,,,,,
 GLE Class,2019.0,49229,Automatic,1000,Diesel,145.0,36.7,2.0,merc,,,,,,,
 4 Series,2019.0,23250,Automatic,10847,Diesel,145.0,65.7,2.0,bmw,,,,,,,
 C Class,2019.0,31499,Semi-Auto,6618,Diesel,145.0,54.3,2.0,merc,,,,,,,
 A3,2019.0,24990,Semi-Auto,2346,Diesel,145.0,50.4,2.0,audi,,,,,,,
 T-Roc,2019.0,32990,Automatic,3000,Petrol,145.0,32.5,2.0,vw,,,,,,,
 Passat,2019.0,17250,Manual,11810,Diesel,145.0,54.3,2.0,vw,,,,,,,
 Q2,2019.0,21500,Automatic,5999,Diesel,145.0,47.9,1.6,audi,,,,,,,
 Focus,2017.0,17495,Manual,25739,Petrol,,,2.0,focus,,,,,,,
 Focus,2017.0," £11,495",Manual,"13,459",,,,,unclean focus,,14,£145,60.1,Petrol,1,/ad/25346440
 Focus,2019.0,19995,Manual,12544,Petrol,,,1.0,focus,,,,,,,
 Corsa,2017.0,7999,Manual,12000,Petrol,150.0,55.4,1.4,vauxhall,,,,,,,
 Crossland X,2019.0,13990,Manual,5431,Diesel,145.0,60.1,1.5,vauxhall,,,,,,,
 Up,2014.0,5899,Manual,17047,Petrol,20.0,62.8,1.0,vw,,,,,,,
 I20,2019.0,9295,Manual,15216,Petrol,,46.3,1.2,hyundi,145.0,,,,,,
 3 Series,2014.0,12995,Manual,61000,Diesel,125.0,60.1,2.0,bmw,,,,,,,
 Sharan,2019.0,29050,Semi-Auto,4375,Diesel,145.0,40.9,2.0,vw,,,,,,,
 2 Series,2020.0,24980,Manual,25,Petrol,145.0,52.3,1.5,bmw,,,,,,,
 C Class,2019.0,31000,Semi-Auto,13,Diesel,,,2.0,cclass,,,,,,,
 Q3,2017.0,19498,Semi-Auto,29323,Diesel,150.0,55.4,2.0,audi,,,,,,,
 X3,2019.0,30395,Semi-Auto,13563,Petrol,145.0,30.4,2.0,bmw,,,,,,,
 I30,2018.0,11995,Manual,22102,Petrol,,52.3,1.4,hyundi,150.0,,,,,,
 Mokka X,2016.0,9995,Manual,26320,Petrol,145.0,47.1,1.4,vauxhall,,,,,,,
 Polo,2018.0,16999,Semi-Auto,22923,Petrol,145.0,47.9,2.0,vw,,,,,,,
 Astra,2019.0,10890,Manual,14319,Petrol,150.0,48.7,1.0,vauxhall,,,,,,,
 RAV4,2014.0,10490,Manual,67712,Diesel,150.0,53.0,2.0,toyota,,,,,,,
 Golf,2019.0,17495,Semi-Auto,15350,Petrol,145.0,44.8,1.0,vw,,,,,,,
 C Class,2016.0," £14,000",Automatic,,,,,,unclean cclass,,Diesel,2.1,"45,000",,,/ad/25439228
 E Class,2019.0,32670,Semi-Auto,5820,Diesel,145.0,70.6,2.0,merc,,,,,,,
 Meriva,2013.0,4700,Manual,47256,Petrol,165.0,44.8,1.4,vauxhall,,,,,,,
 Fiesta,2016.0,11499,Manual,24300,Petrol,145.0,47.9,1.6,ford,,,,,,,
 Focus,2018.0,13495,Manual,10335,Petrol,145.0,57.7,1.0,ford,,,,,,,
 Touran,2016.0,14880,Manual,29729,Diesel,30.0,61.4,1.6,vw,,,,,,,
 3 Series,2017.0,19480,Semi-Auto,17610,Petrol,145.0,48.7,2.0,bmw,,,,,,,
 Yaris,2014.0,6500,Manual,25000,Petrol,30.0,58.9,1.0,toyota,,,,,,,
 Focus,2014.0,6999,Manual,41633,Petrol,30.0,56.5,1.0,ford,,,,,,,
 6 Series,2016.0,20999,Automatic,43483,Diesel,200.0,49.6,3.0,bmw,,,,,,,
 Focus,2019.0," £16,400",Manual,,,,,,unclean focus,,Petrol,1,"13,816",,,/ad/25444784
 Grandland X,2019.0,16620,Manual,5143,Petrol,145.0,44.1,1.2,vauxhall,,,,,,,
 Golf,2019.0,17298,Manual,8452,Petrol,145.0,47.1,1.5,vw,,,,,,,
 Tiguan,2017.0,16298,Manual,13083,Petrol,145.0,46.3,1.4,vw,,,,,,,
 GLA Class,2016.0,18431,Semi-Auto,24500,Diesel,30.0,64.2,2.1,merc,,,,,,,
 Crossland X,2019.0,10464,Manual,14735,Petrol,145.0,44.8,1.2,vauxhall,,,,,,,
 Ka+,2019.0,11699,Manual,2559,Petrol,145.0,43.5,1.2,ford,,,,,,,
 Crossland X,2018.0,13599,Manual,9442,Diesel,145.0,62.8,1.5,vauxhall,,,,,,,
 I30,2015.0,6698,Manual,64365,Diesel,,78.4,1.6,hyundi,0.0,,,,,,
 Focus,2019.0,15320,Manual,9369,Petrol,145.0,60.1,1.0,ford,,,,,,,
 Focus,2009.0,2495,Manual,107000,Petrol,,,1.6,focus,,,,,,,
 C Class,2019.0," £44,987",Automatic,"1,843",,,,,unclean cclass,,,£145,30.4,Petrol,3,/ad/25253264
 C Class,2018.0," £25,049",Semi-Auto,"6,550",,,,,unclean cclass,,,£145,60.1,Diesel,1.6,/ad/25272642
 M Class,2014.0,17995,Semi-Auto,43729,Diesel,300.0,39.2,3.0,merc,,,,,,,
 Kodiaq,2018.0,25990,Automatic,13519,Diesel,145.0,49.6,2.0,skoda,,,,,,,
 3 Series,2019.0,33000,Semi-Auto,11564,Diesel,145.0,49.6,2.0,bmw,,,,,,,
 Combo Life,2018.0,13500,Manual,10000,Diesel,145.0,53.3,1.5,vauxhall,,,,,,,
 R8,2019.0,119450,Automatic,3000,Petrol,145.0,21.4,5.2,audi,,,,,,,
 C Class,2019.0,39950,Semi-Auto,6641,Petrol,,,3.0,cclass,,,,,,,
 EcoSport,2017.0,9300,Manual,45002,Petrol,150.0,53.3,1.0,ford,,,,,,,
 Superb,2019.0,26000,Automatic,7017,Petrol,145.0,30.1,2.0,skoda,,,,,,,
 C Class,2017.0,23047,Semi-Auto,8143,Diesel,145.0,65.7,2.1,merc,,,,,,,
 California,2019.0,54995,Semi-Auto,3500,Diesel,260.0,32.1,2.0,vw,,,,,,,
 Focus,2019.0,20285,Automatic,7529,Diesel,,,1.5,focus,,,,,,,
 Fiesta,2008.0,3499,Manual,69676,Petrol,150.0,49.6,1.4,ford,,,,,,,
 A1,2017.0,12400,Manual,24736,Diesel,150.0,80.7,1.6,audi,,,,,,,
 Corsa,2019.0,9990,Manual,100,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 Touran,2013.0,8500,Automatic,43728,Diesel,150.0,55.4,1.6,vw,,,,,,,
 A1,2017.0,15995,Manual,12000,Petrol,145.0,58.9,1.4,audi,,,,,,,
 Touareg,2020.0,56499,Semi-Auto,5000,Petrol,150.0,25.5,3.0,vw,,,,,,,
 Focus,2019.0," £14,240",Manual,"7,429",,,,,unclean focus,,,£145,60.1,Petrol,1,/ad/25222703
 Mokka X,2019.0,12400,Manual,10372,Petrol,145.0,39.2,1.4,vauxhall,,,,,,,
 Scirocco,2013.0,7295,Semi-Auto,107000,Diesel,125.0,57.6,2.0,vw,,,,,,,
 Polo,2017.0,11490,Manual,17214,Petrol,150.0,60.1,1.2,vw,,,,,,,
 A Class,2019.0,24795,Semi-Auto,12166,Petrol,150.0,53.3,1.3,merc,,,,,,,
 4 Series,2016.0,21985,Automatic,33074,Diesel,160.0,51.4,3.0,bmw,,,,,,,
 1 Series,2016.0,11000,Manual,56121,Petrol,125.0,52.3,1.5,bmw,,,,,,,
 Corsa,2015.0,6860,Manual,30217,Petrol,125.0,54.3,1.4,vauxhall,,,,,,,
 Fiesta,2014.0,8495,Manual,18358,Petrol,0.0,65.7,1.0,ford,,,,,,,
 S5,2014.0,18950,Semi-Auto,32000,Petrol,260.0,36.7,3.0,audi,,,,,,,
 A5,2016.0,23995,Automatic,19151,Petrol,260.0,35.8,3.0,audi,,,,,,,
 Tucson,2019.0,24480,Manual,6054,Hybrid,,47.9,1.6,hyundi,145.0,,,,,,
 A Class,2019.0,23480,Semi-Auto,10191,Diesel,145.0,67.3,1.5,merc,,,,,,,
 V Class,2019.0,20391,Automatic,18552,Diesel,150.0,48.7,2.1,merc,,,,,,,
 Fiesta,2017.0,9000,Manual,13532,Petrol,145.0,64.2,1.1,ford,,,,,,,
 Focus,2019.0,15885,Manual,12624,Petrol,,,1.0,focus,,,,,,,
 Astra,2019.0,14990,Manual,3000,Petrol,145.0,47.9,1.4,vauxhall,,,,,,,
 Fiesta,2017.0,12495,Manual,9823,Petrol,145.0,62.8,1.0,ford,,,,,,,
 Kuga,2017.0,10750,Manual,45000,Petrol,165.0,45.6,1.5,ford,,,,,,,
 Focus,2015.0,13838,Manual,26201,Petrol,,,2.0,focus,,,,,,,
 I30,2018.0,21999,Manual,19496,Petrol,,39.8,2.0,hyundi,150.0,,,,,,
 Focus,2015.0,6999,Manual,55336,Diesel,,,1.5,focus,,,,,,,
 Ka+,2019.0,12780,Manual,339,Petrol,145.0,43.5,1.2,ford,,,,,,,
 1 Series,2018.0,22761,Semi-Auto,24866,Petrol,150.0,32.5,3.0,bmw,,,,,,,
 CL Class,2017.0,31550,Automatic,27634,Petrol,150.0,40.9,2.0,merc,,,,,,,
 Aygo,2017.0,6599,Manual,25496,Petrol,0.0,69.0,1.0,toyota,,,,,,,
 Golf,2019.0,18999,Automatic,11192,Diesel,145.0,52.3,2.0,vw,,,,,,,
 Fiesta,2020.0,16999,Manual,12,Petrol,145.0,56.5,1.0,ford,,,,,,,
 Superb,2018.0,19565,Manual,14000,Diesel,145.0,65.7,2.0,skoda,,,,,,,
 Focus,2017.0," £16,995",Manual,"27,000",,,,,unclean focus,,,£145,41.5,Petrol,2,/ad/25285551
 X3,2016.0,23450,Semi-Auto,23961,Diesel,145.0,54.3,2.0,bmw,,,,,,,
 C Class,2017.0,13900,Manual,47608,Diesel,20.0,68.9,2.1,merc,,,,,,,
 A Class,2019.0,22899,Automatic,442,Diesel,145.0,62.8,1.5,merc,,,,,,,
 Fiesta,2019.0,14021,Automatic,5489,Petrol,145.0,48.7,1.0,ford,,,,,,,
 A6,2019.0,33990,Automatic,4000,Diesel,145.0,39.2,3.0,audi,,,,,,,
 Focus,2011.0,9199,Manual,47304,Petrol,,,2.5,focus,,,,,,,
 E Class,2019.0,42729,Semi-Auto,1709,Hybrid,135.0,188.3,2.0,merc,,,,,,,
 Q5,2020.0,49000,Automatic,3500,Diesel,145.0,34.5,3.0,audi,,,,,,,
 I10,2018.0,8750,Manual,9140,Petrol,,57.7,1.2,hyundi,150.0,,,,,,
 Ioniq,2019.0,16498,Automatic,4004,Hybrid,,78.5,1.6,hyundi,135.0,,,,,,
 Mustang,2017.0,31317,Semi-Auto,9511,Petrol,145.0,23.5,5.0,ford,,,,,,,
 Superb,2019.0,15850,Manual,12727,Diesel,145.0,65.7,2.0,skoda,,,,,,,
 E Class,2015.0,16502,Semi-Auto,41641,Diesel,145.0,55.4,2.1,merc,,,,,,,
 A5,2019.0,35945,Automatic,2200,Diesel,145.0,50.4,2.0,audi,,,,,,,
 I30,2019.0,14699,Manual,16673,Diesel,,60.1,1.6,hyundi,145.0,,,,,,
 1 Series,2016.0,12200,Manual,17941,Petrol,125.0,53.3,1.5,bmw,,,,,,,
 A5,2020.0,29950,Semi-Auto,5000,Diesel,145.0,50.4,2.0,audi,,,,,,,
 Focus,2014.0," £8,483",Manual,"48,739",,,,,unclean focus,,13,£20,60.1,Petrol,1,/ad/25049197
 Fiesta,2015.0,8284,Manual,11498,Diesel,0.0,88.3,1.5,ford,,,,,,,
 Corolla,2004.0,1250,Manual,111000,Petrol,260.0,37.2,1.8,toyota,,,,,,,
 EcoSport,2017.0,9399,Manual,15285,Petrol,145.0,44.8,1.5,ford,,,,,,,
 Q3,2016.0,16890,Manual,44000,Diesel,30.0,60.1,2.0,audi,,,,,,,
 Fiesta,2018.0,9700,Manual,25460,Petrol,145.0,58.9,1.0,ford,,,,,,,
 Kodiaq,2019.0,25800,Automatic,12150,Diesel,145.0,37.2,2.0,skoda,,,,,,,
 TT,2019.0,26990,Manual,2500,Petrol,145.0,38.2,2.0,audi,,,,,,,
 C Class,2019.0," £29,900",Automatic,"1,000",,,,,unclean cclass,,,£145,64.2,Diesel,1950,/ad/24972722
 A5,2017.0,21995,Semi-Auto,66483,Petrol,145.0,38.2,3.0,audi,,,,,,,
 1 Series,2019.0,15199,Manual,8807,Petrol,145.0,53.3,1.5,bmw,,,,,,,
 1 Series,2013.0,6998,Manual,73603,Diesel,30.0,62.8,2.0,bmw,,,,,,,
 Mondeo,2018.0,17999,Automatic,3570,Petrol,145.0,44.1,1.5,ford,,,,,,,
 Corsa,2019.0,9994,Manual,3331,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 Focus,2015.0,12638,Manual,46628,Diesel,,,2.0,focus,,,,,,,
 Focus,2019.0,17495,Manual,6130,Petrol,145.0,60.1,1.0,ford,,,,,,,
 A3,2018.0,28995,Semi-Auto,7898,Petrol,150.0,44.1,2.0,audi,,,,,,,
 Mondeo,2017.0,9550,Manual,73614,Diesel,150.0,65.7,2.0,ford,,,,,,,
 I10,2018.0,7495,Manual,30397,Petrol,,57.7,1.2,hyundi,145.0,,,,,,
 Prius,2016.0,18495,Automatic,24715,Hybrid,0.0,94.1,1.8,toyota,,,,,,,
 Golf,2018.0,19990,Manual,16452,Diesel,150.0,60.1,2.0,vw,,,,,,,
 C Class,2014.0,10498,Semi-Auto,51929,Diesel,145.0,53.3,2.1,merc,,,,,,,
 Fiesta,2018.0,9627,Manual,25940,Petrol,145.0,56.5,1.0,ford,,,,,,,
 Focus,2018.0,14295,Manual,5482,Petrol,145.0,57.7,1.0,ford,,,,,,,
 Polo,2016.0,8698,Manual,20686,Petrol,20.0,60.1,1.0,vw,,,,,,,
 Focus,2016.0,10000,Manual,19785,Petrol,,,1.0,focus,,,,,,,
 Focus,2017.0," £11,000",Manual,"18,374",,,,,unclean focus,,14,,,Petrol,999,/ad/17191890
 Kona,2019.0,21000,Semi-Auto,634,Petrol,,37.7,1.6,hyundi,145.0,,,,,,
 Fabia,2016.0,8950,Manual,14551,Petrol,20.0,60.1,1.2,skoda,,,,,,,
 Focus,2017.0,18800,Manual,8813,Petrol,,,2.0,focus,,,,,,,
 Up,2013.0,4982,Manual,52000,Petrol,20.0,60.1,1.0,vw,,,,,,,
 A Class,2020.0,27995,Semi-Auto,100,Diesel,145.0,62.8,1.5,merc,,,,,,,
 C Class,2019.0,24299,Semi-Auto,12321,Diesel,145.0,58.9,2.0,merc,,,,,,,
 A Class,2015.0,10900,Manual,47290,Diesel,20.0,70.6,1.5,merc,,,,,,,
 Galaxy,2016.0,18498,Manual,30528,Diesel,125.0,56.5,2.0,ford,,,,,,,
 Touran,2016.0,14990,Manual,32400,Diesel,30.0,64.2,1.6,vw,,,,,,,
 A1,2020.0,22000,Semi-Auto,2999,Petrol,145.0,44.8,1.0,audi,,,,,,,
 Karoq,2018.0,17695,Manual,15519,Petrol,150.0,52.3,1.0,skoda,,,,,,,
 X2,2019.0,34173,Semi-Auto,4500,Petrol,145.0,34.0,2.0,bmw,,,,,,,
 Up,2014.0,5390,Manual,31136,Petrol,20.0,62.8,1.0,vw,,,,,,,
 Focus,2017.0,13000,Manual,12456,Petrol,,,1.0,focus,,,,,,,
 A3,2020.0,21946,Manual,3000,Diesel,145.0,51.4,1.6,audi,,,,,,,
 Focus,2017.0,10750,Manual,23000,Petrol,145.0,60.1,1.0,ford,,,,,,,
 Mondeo,2016.0,12699,Automatic,46693,Diesel,125.0,57.7,2.0,ford,,,,,,,
 Yeti,2016.0,10350,Manual,29426,Petrol,125.0,51.4,1.2,skoda,,,,,,,
 Arteon,2018.0,21999,Automatic,11639,Diesel,145.0,60.1,2.0,vw,,,,,,,
 A Class,2019.0,18780,Semi-Auto,17341,Diesel,145.0,65.7,1.5,merc,,,,,,,
 Fiesta,2014.0,7450,Manual,33042,Petrol,0.0,65.7,1.0,ford,,,,,,,
 GLA Class,2018.0,31490,Semi-Auto,20320,Petrol,145.0,38.2,2.0,merc,,,,,,,
 Tourneo Custom,2018.0,20995,Manual,8095,Diesel,145.0,44.8,2.0,ford,,,,,,,
 Corsa,2019.0,9495,Manual,7132,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 Astra,2016.0,10298,Manual,23367,Diesel,20.0,72.4,1.6,vauxhall,,,,,,,
 Fabia,2018.0,8998,Manual,28916,Petrol,145.0,57.7,1.0,skoda,,,,,,,
 Corsa,2019.0,9995,Manual,16838,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 Fabia,2018.0,9550,Manual,14769,Petrol,145.0,64.2,1.0,skoda,,,,,,,
 Focus,2019.0,16569,Manual,2828,Petrol,,,1.0,focus,,,,,,,
 EcoSport,2018.0,16000,Manual,3198,Diesel,145.0,58.9,1.5,ford,,,,,,,
 Golf,2015.0,8700,Manual,55311,Diesel,0.0,68.9,1.6,vw,,,,,,,
 Focus,2017.0,12500,Automatic,17560,Petrol,145.0,51.4,1.0,ford,,,,,,,
 GLC Class,2018.0,28390,Semi-Auto,10465,Diesel,145.0,56.5,2.1,merc,,,,,,,
 Focus,2018.0,15000,Manual,15918,Petrol,,,1.0,focus,,,,,,,
 A1,2018.0,16999,Manual,16911,Petrol,150.0,51.4,1.0,audi,,,,,,,
 Mokka,2016.0,11300,Manual,11038,Petrol,200.0,42.2,1.4,vauxhall,,,,,,,
 3 Series,2016.0,16892,Semi-Auto,24435,Diesel,30.0,64.2,2.0,bmw,,,,,,,
 Corsa,2019.0,9699,Manual,4511,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 Focus,2019.0," £17,440",Manual,,,,,,unclean focus,,Diesel,1.5,"7,937",,,/ad/25444880
 E Class,2019.0,34980,Semi-Auto,7068,Diesel,145.0,57.7,2.0,merc,,,,,,,
 2 Series,2020.0,25998,Automatic,3160,Hybrid,140.0,113.0,1.5,bmw,,,,,,,
 Focus,2016.0," £10,210",Manual,"21,018",,,,,unclean focus,,16,£0,74.3,Diesel,1.5,/ad/24962938
 C Class,2014.0,26998,Semi-Auto,24175,Petrol,,,6.2,cclass,,,,,,,
 Focus,2017.0,14999,Semi-Auto,11882,Diesel,,,2.0,focus,,,,,,,
 Focus,2018.0,12195,Manual,11821,Petrol,145.0,60.1,1.0,ford,,,,,,,
 Focus,2016.0,16810,Manual,20841,Petrol,,,2.0,focus,,,,,,,
 Focus,2015.0," £13,838",Manual,"26,201",,,,,unclean focus,,36,£200,41.5,Petrol,2,/ad/25220703
 Tiguan,2016.0,14990,Manual,31202,Diesel,125.0,58.9,2.0,vw,,,,,,,
 Focus,2019.0,15935,Manual,11291,Petrol,,,1.0,focus,,,,,,,
